Volatility 3 Framework 2.8.0

PID	Process	Value	Privilege	Attributes	Description
3984	wuauclt.exe	28	SeManageVolumePrivilege	Present,Enabled	Manage the files on a volume
3984	wuauclt.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
3984	wuauclt.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
2404	ImmunityDebugge	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
2404	ImmunityDebugge	8	SeSecurityPrivilege	Present	Manage auditing and security log
2404	ImmunityDebugge	17	SeBackupPrivilege	Present	Backup files and directories
2404	ImmunityDebugge	18	SeRestorePrivilege	Present	Restore files and directories
2404	ImmunityDebugge	12	SeSystemtimePrivilege	Present	Change the system time
2404	ImmunityDebugge	19	SeShutdownPrivilege	Present	Shut down the system
2404	ImmunityDebugge	24	SeRemoteShutdownPrivilege	Present	Force shutdown from a remote system
2404	ImmunityDebugge	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
2404	ImmunityDebugge	20	SeDebugPrivilege	Present,Enabled	Debug programs
2404	ImmunityDebugge	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
2404	ImmunityDebugge	11	SeSystemProfilePrivilege	Present	Profile system performance
2404	ImmunityDebugge	13	SeProfileSingleProcessPrivilege	Present	Profile a single process
2404	ImmunityDebugge	14	SeIncreaseBasePriorityPrivilege	Present	Increase scheduling priority
2404	ImmunityDebugge	10	SeLoadDriverPrivilege	Present,Enabled	Load and unload device drivers
2404	ImmunityDebugge	15	SeCreatePagefilePrivilege	Present	Create a pagefile
2404	ImmunityDebugge	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
2404	ImmunityDebugge	25	SeUndockPrivilege	Present,Enabled	Remove computer from docking station
2404	ImmunityDebugge	28	SeManageVolumePrivilege	Present	Manage the files on a volume
2404	ImmunityDebugge	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
2404	ImmunityDebugge	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
3772	b98679df6defbb3	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
3772	b98679df6defbb3	8	SeSecurityPrivilege	Present,Enabled	Manage auditing and security log
3772	b98679df6defbb3	17	SeBackupPrivilege	Present	Backup files and directories
3772	b98679df6defbb3	18	SeRestorePrivilege	Present	Restore files and directories
3772	b98679df6defbb3	12	SeSystemtimePrivilege	Present	Change the system time
3772	b98679df6defbb3	19	SeShutdownPrivilege	Present	Shut down the system
3772	b98679df6defbb3	24	SeRemoteShutdownPrivilege	Present	Force shutdown from a remote system
3772	b98679df6defbb3	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
3772	b98679df6defbb3	20	SeDebugPrivilege	Present	Debug programs
3772	b98679df6defbb3	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
3772	b98679df6defbb3	11	SeSystemProfilePrivilege	Present	Profile system performance
3772	b98679df6defbb3	13	SeProfileSingleProcessPrivilege	Present	Profile a single process
3772	b98679df6defbb3	14	SeIncreaseBasePriorityPrivilege	Present	Increase scheduling priority
3772	b98679df6defbb3	10	SeLoadDriverPrivilege	Present,Enabled	Load and unload device drivers
3772	b98679df6defbb3	15	SeCreatePagefilePrivilege	Present	Create a pagefile
3772	b98679df6defbb3	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
3772	b98679df6defbb3	25	SeUndockPrivilege	Present,Enabled	Remove computer from docking station
3772	b98679df6defbb3	28	SeManageVolumePrivilege	Present	Manage the files on a volume
3772	b98679df6defbb3	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
3772	b98679df6defbb3	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
3276	ihah.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
3276	ihah.exe	8	SeSecurityPrivilege	Present,Enabled	Manage auditing and security log
3276	ihah.exe	17	SeBackupPrivilege	Present	Backup files and directories
3276	ihah.exe	18	SeRestorePrivilege	Present	Restore files and directories
3276	ihah.exe	12	SeSystemtimePrivilege	Present	Change the system time
3276	ihah.exe	19	SeShutdownPrivilege	Present	Shut down the system
3276	ihah.exe	24	SeRemoteShutdownPrivilege	Present	Force shutdown from a remote system
3276	ihah.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
3276	ihah.exe	20	SeDebugPrivilege	Present	Debug programs
3276	ihah.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
3276	ihah.exe	11	SeSystemProfilePrivilege	Present	Profile system performance
3276	ihah.exe	13	SeProfileSingleProcessPrivilege	Present	Profile a single process
3276	ihah.exe	14	SeIncreaseBasePriorityPrivilege	Present	Increase scheduling priority
3276	ihah.exe	10	SeLoadDriverPrivilege	Present,Enabled	Load and unload device drivers
3276	ihah.exe	15	SeCreatePagefilePrivilege	Present	Create a pagefile
3276	ihah.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
3276	ihah.exe	25	SeUndockPrivilege	Present,Enabled	Remove computer from docking station
3276	ihah.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
3276	ihah.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
3276	ihah.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
3768	rundll32.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
3768	rundll32.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
3768	rundll32.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
3768	rundll32.exe	25	SeUndockPrivilege	Present,Enabled	Remove computer from docking station
3768	rundll32.exe	10	SeLoadDriverPrivilege	Present,Enabled	Load and unload device drivers
